Title,Year,Duration,Rating,No of votes
The Shawshank Redemption,1994,2h 22m,9.3, 3M
The Godfather,1972,2h 55m,9.2, 21M
The Dark Knight,2008,2h 32m,9.0, 3M
The Godfather: Part II,1974,3h 22m,9.0, 14M
12 Angry Men,1957,1h 36m,9.0, 897K
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0, 2M
Schindler's List,1993,3h 15m,9.0, 15M
Pulp Fiction,1994,2h 34m,8.9, 23M
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9, 21M
"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,8.8, 833K
Forrest Gump,1994,2h 22m,8.8, 23M
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8, 18M
Fight Club,1999,2h 19m,8.8, 24M
Inception,2010,2h 28m,8.8, 26M
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7, 14M
The Matrix,1999,2h 16m,8.7, 21M
GoodFellas,1990,2h 25m,8.7, 13M
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7, 11M
Interstellar,2014,2h 49m,8.7, 22M
Se7en,1995,2h 7m,8.6, 19M
It's a Wonderful Life,1946,2h 10m,8.6, 512K
Shichinin No Samurai,1954,3h 27m,8.6, 376K
The Silence of the Lambs,1991,1h 58m,8.6, 16M
Saving Private Ryan,1998,2h 49m,8.6, 15M
City of God,2002,2h 10m,8.6, 821K
